Station,Date,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron,Pressure,Averaged Nitrate,Ratio,Density
18 (Super 1),20/02/2008,-36.5085,13.1163,2.8,21.166,35.563,0,,2.8,0,,24.87376887
18 (Super 1),20/02/2008,-36.5085,13.1163,3.1,20.9,35.598,0,,3.1,0,,24.97282486
18 (Super 1),20/02/2008,-36.5085,13.1163,3.2,20.728,35.575001,0,,3.2,0,,25.00224262
18 (Super 1),20/02/2008,-36.5085,13.1163,3.3,20.9,35.598,,,3.3,0,,24.97282484
18 (Super 1),20/02/2008,-36.5085,13.1163,3.3,20.907,35.597,,,3.3,0,,24.9701657
18 (Super 1),20/02/2008,-36.5085,13.1163,3.4,20.905,35.597,,,3.4,0,,24.97071055
18 (Super 1),20/02/2008,-36.5085,13.1163,3.6,20.907,35.598,,,3.6,0,,24.97091793
18 (Super 1),20/02/2008,-36.5085,13.1163,4.2,21.178,35.571999,0,,4.2,0,,24.87723864
18 (Super 1),20/02/2008,-36.5085,13.1163,6.9,20.904,35.597,0,,7,0,,24.97098265
18 (Super 1),20/02/2008,-36.5085,13.1163,7,20.905,35.597,,,7.1,0,,24.97071023
18 (Super 1),20/02/2008,-36.5085,13.1163,13.7,20.856,35.603001,,,13.8,0,,24.98856255
18 (Super 1),20/02/2008,-36.5085,13.1163,13.7,20.862,35.603001,,,13.8,0,,24.98693022
18 (Super 1),20/02/2008,-36.5085,13.1163,13.8,20.865,35.602001,,,13.9,0,,24.98536157
18 (Super 1),20/02/2008,-36.5085,13.1163,14.2,20.855,35.604,0,,14.3,0,,24.98958604
18 (Super 1),20/02/2008,-36.5085,13.1163,19.3,20.754,35.556999,,,19.4,0,,24.98164476
18 (Super 1),20/02/2008,-36.5085,13.1163,19.5,20.479,35.583,0,,19.6,0,,25.07546355
18 (Super 1),20/02/2008,-36.5085,13.1163,20,,,0,0.683415,20.1,0,0,
18 (Super 1),20/02/2008,-36.5085,13.1163,24.6,20.068,35.562,,,24.8,0,,25.16944641
18 (Super 1),20/02/2008,-36.5085,13.1163,28.9,20.32,35.580002,,,29.1,,,25.115885
18 (Super 1),20/02/2008,-36.5085,13.1163,29.2,19.569,35.449001,,,29.4,,,25.21552542
18 (Super 1),20/02/2008,-36.5085,13.1163,29.3,19.58,35.448002,,,29.5,,,25.21190063
