Alpha (m^2/N),Clay,Sand,Gravel,Jointed Rock,Sound Rock
minimum,1.00E-08,1.00E-09,1.00E-10,1.00E-10,1.00E-11
average,1.00E-07,1.00E-08,1.00E-09,1.00E-08,1.00E-10
maximum,1.00E-06,1.00E-07,1.00E-08,1.00E-08,1.00E-09
